"","农林牧渔业","工业","建筑业","批发和零售业","交通运输.仓储和邮政业","住宿和餐饮业","金融业","房地产业","其他行业"
"1",531.474420485273,8296.44064384971,1012.98246470388,675.487394953092,580.83878301705,379.143032369319,227.013191327894,148.32697989835,1694.05185503986
"2",531.44980025208,8296.44282170603,1013.01625810244,675.489023885048,580.842280867373,379.143506000401,227.00706303298,148.324946385809,1694.0457943947
"3",531.426298029839,8296.44471878909,1013.04489748911,675.491329384209,580.845448899971,379.143885699433,227.001601625053,148.323208634751,1694.03810626165
"4",834.113806570017,9312.32882796824,1795.6905130001,659.62811994197,641.344373134051,351.207101407388,204.370717138996,141.022076117996,1625.57193486367
"5",834.09407480408,9312.32994981352,1795.71059882776,659.63223296264,641.347176868216,351.207532750586,204.367650609256,141.020762137633,1625.56626804127
"6",834.08688329323,9312.3276881446,1795.70476020616,659.639257572385,641.348630910275,351.208608676504,204.370206068916,141.019906701478,1625.55697747899
"7",1160.93158549294,9838.74480336926,1866.68497455879,619.012942893065,565.693863245604,348.245902552113,212.143191417039,170.59835436466,1650.83188686896
"8",1160.93009272624,9838.74071737907,1866.66839187618,619.02092339212,565.694527588595,348.246653049368,212.148656724434,170.597840751057,1650.82513109986
"9",1160.93034726138,9838.73655695621,1866.64882925315,619.029293575319,565.694989654542,348.247283772846,212.154977391388,170.59724915935,1650.82480663426
"10",1456.24664765996,10525.3972976113,2504.3806530445,666.628619093322,739.270692662535,339.353729854165,235.799260443614,198.629185231067,1647.97415107219
"11",1456.24625920004,10525.3956536723,2504.36400143352,666.637429007992,739.271396361193,339.354200429647,235.805199074505,198.627664387511,1647.99776018993
"12",1456.24762229928,10525.3937455891,2504.34451412849,666.646279369926,739.271882906552,339.354477350929,235.81191425724,198.626359986774,1648.04292573293
"13",588.615320001446,10312.7856746222,1168.41111905633,724.369123481778,702.360086492242,405.978942217984,256.600618428879,149.12868190685,2067.05811806911
"14",588.612679567187,10312.7780083078,1168.40369030845,724.370648336456,702.359964039148,405.975197417239,256.580672250259,149.127502612244,2067.09307958185
"15",588.609198907242,10312.7690724492,1168.39948348872,724.370068023461,702.359675513543,405.970303726559,256.561596998535,149.126534601624,2067.12264081434
"16",908.395137850209,11393.2131625567,2061.45520230839,715.785162980862,740.71743818759,366.712213665739,227.252281363191,144.933803656457,1934.22157291693
"17",908.39207199099,11393.206463441,2061.45238412237,715.783521914813,740.717220401704,366.706621815964,227.236117011213,144.933375007212,1934.24231900352
"18",908.390330553696,11393.1959435731,2061.44731435827,715.78233464,740.716718712179,366.701878557322,227.230013001301,144.933980051158,1934.23634127795
"19",1323.71416231102,12163.0852446818,2256.52853838884,707.63406526902,684.466492220838,397.663286397406,235.91317304833,167.075422820397,1903.46410419089
"20",1323.71279442562,12163.0765310696,2256.52484835779,707.632115409825,684.46612526346,397.658323037887,235.911554968349,167.076288507147,1903.44710988071
"21",1323.7118053929,12163.0742400202,2256.52166710454,707.630430213295,684.466247458269,397.653191423041,235.911321176965,167.077611518916,1903.42705325843
"22",1642.70266066157,13207.31913303,2819.89219410637,723.775081850934,892.817235458797,381.223343472244,256.418202586364,199.346593727915,2076.18575033333
"23",1642.70285214695,13207.3528163448,2819.88985299876,723.775581715901,892.819590085009,381.217303993542,256.417483897173,199.349710404035,2076.16865822785
"24",1642.70316211196,13207.3605801495,2819.88848172784,723.776040379307,892.822117214285,381.21205824801,256.41815124797,199.353078526528,2076.14866003641
"25",623.097119123497,13988.3714616795,1344.32617834521,804.115063204827,929.861657348153,445.722589992803,312.782702811752,151.239198766206,2836.80406319243
"26",623.097486829315,13988.3969294538,1344.32519208693,804.114864834164,929.863683158888,445.716938260028,312.779699633386,151.236706823355,2836.79697524548
"27",623.097801735516,13988.4234122141,1344.32510448747,804.1144940383,929.86564819298,445.712068174011,312.775906363967,151.232869208153,2836.79333405535
"28",1006.97520565987,15846.58201322,2347.97343231017,847.253748032996,1022.80910086668,445.012751807569,268.624943092149,148.902068083725,2674.43055848418
"29",1006.9754488855,15846.6035002502,2347.97579191659,847.253446919419,1022.8112792554,445.010464464871,268.621560614906,148.900029915026,2674.42832824887
"30",1006.97481929474,15846.5972525638,2347.9831944159,847.253122195211,1022.8141221579,445.014167276298,268.619021155242,148.894614477205,2674.42385163822
"31",1499.82791676438,16892.6136187759,2603.50477508994,835.154021795094,920.199746586628,460.357525183132,278.65135043542,167.217075078856,2565.71152957376
"32",1499.82648593577,16892.5964097326,2603.5142161084,835.153564211965,920.202160886035,460.364381787275,278.649209912464,167.213117521351,2565.70842096607
"33",1499.82525839338,16892.5761484534,2603.52438658079,835.153113693852,920.204433603065,460.372152688868,278.647727106819,167.214679457082,2565.7056311488
"34",1814.33267482759,18556.4452460867,3137.36827197872,886.498056887103,1133.90033107794,467.724890890116,309.994408247513,197.042587069513,2627.5956044673
"35",1814.33366208017,18556.4279701019,3137.37881337838,886.49782395823,1133.90250789526,467.732201224898,309.995544981715,197.072691164043,2627.59273011545
"36",1814.33463687179,18556.4078149428,3137.38975574719,886.497586505333,1133.90440280628,467.740334538748,309.996668512634,197.091312065536,2627.59084994483
"37",722.827952662994,16977.1164494836,1474.12762115597,896.319780250794,1136.69475381144,504.613557295683,340.209214666853,156.517709533134,3365.83645581679
"38",722.821892017833,16977.11096961,1474.13124694301,896.318652695863,1136.69136456736,504.591064533802,340.210693782989,156.545064333112,3365.83491167885
"39",722.814203884776,16977.1094090248,1474.1328355038,896.317320910721,1136.68644033569,504.56957701161,340.212005735738,156.571158430198,3365.83432471075
