时间,农林牧渔业,工业,建筑业,批发和零售业,交通运输、仓储和邮政业,住宿和餐饮业,金融业,房地产业,其他行业
2002.1.1,531.405419631201,8296.49274177988,1012.98456419961,675.537267921508,580.78165546722,379.045287278213,226.969251258223,148.343836866009,1694.10052927461
2002.2.1,531.405419631201,8296.49274177988,1012.98456419961,675.537267921508,580.78165546722,379.045287278213,226.969251258223,148.343836866009,1694.10052927461
2002.3.1,531.405419631201,8296.49274177988,1012.98456419961,675.537267921508,580.78165546722,379.045287278213,226.969251258223,148.343836866009,1694.10052927461
2002.4.1,834.115989994475,9312.37196895644,1795.59433138028,659.675893019792,641.270612791353,351.108515487326,204.340371017042,141.046416557384,1625.63785486033
2002.5.1,834.115989994475,9312.37196895644,1795.59433138028,659.675893019792,641.270612791353,351.108515487326,204.340371017042,141.046416557384,1625.63785486033
2002.6.1,834.115989994475,9312.37196895644,1795.59433138028,659.675893019792,641.270612791353,351.108515487326,204.340371017042,141.046416557384,1625.63785486033
2002.7.1,1160.96055077023,9838.79150745815,1866.58964142313,619.039312693082,565.608840084912,348.143159822372,212.110147379573,170.631220380504,1650.9189497538
2002.8.1,1160.96055077023,9838.79150745815,1866.58964142313,619.039312693082,565.608840084912,348.143159822372,212.110147379573,170.631220380504,1650.9189497538
2002.9.1,1160.96055077023,9838.79150745815,1866.58964142313,619.039312693082,565.608840084912,348.143159822372,212.110147379573,170.631220380504,1650.9189497538
2002.10.1,1456.2767747696,10525.4498787576,2504.32910355535,666.623437398229,739.185848058511,339.247092827509,235.751788694485,198.672576591816,1648.04685707105
2002.11.1,1456.2767747696,10525.4498787576,2504.32910355535,666.623437398229,739.185848058511,339.247092827509,235.751788694485,198.672576591816,1648.04685707105
2002.12.1,1456.2767747696,10525.4498787576,2504.32910355535,666.623437398229,739.185848058511,339.247092827509,235.751788694485,198.672576591816,1648.04685707105
2003.1.1,588.647930280689,10312.8309068449,1168.42858368751,724.345560423566,702.283970665388,405.874794982358,256.544901212851,149.177772213518,2067.05651195855
2003.2.1,588.647930280689,10312.8309068449,1168.42858368751,724.345560423566,702.283970665388,405.874794982358,256.544901212851,149.177772213518,2067.05651195855
2003.3.1,588.647930280689,10312.8309068449,1168.42858368751,724.345560423566,702.283970665388,405.874794982358,256.544901212851,149.177772213518,2067.05651195855
2003.4.1,908.435200812304,11393.2721168019,2061.47740652486,715.760343348283,740.631995143449,366.622201409666,227.254087340739,144.992810973173,1934.12570494863
2003.5.1,908.435200812304,11393.2721168019,2061.47740652486,715.760343348283,740.631995143449,366.622201409666,227.254087340739,144.992810973173,1934.12570494863
2003.6.1,908.435200812304,11393.2721168019,2061.47740652486,715.760343348283,740.631995143449,366.622201409666,227.254087340739,144.992810973173,1934.12570494863
2003.7.1,1323.75801955927,12163.1693869853,2256.56571903075,707.612098399586,684.388225908959,397.587584961322,235.941219569623,167.130182867612,1903.36572665108
2003.8.1,1323.75801955927,12163.1693869853,2256.56571903075,707.612098399586,684.388225908959,397.587584961322,235.941219569623,167.130182867612,1903.36572665108
2003.9.1,1323.75801955927,12163.1693869853,2256.56571903075,707.612098399586,684.388225908959,397.587584961322,235.941219569623,167.130182867612,1903.36572665108
2003.10.1,1642.74916052243,13207.3861395645,2819.93298881817,723.754362840537,892.726746953948,381.162036955556,256.448018697287,199.386576427807,2076.14070167243
2003.11.1,1642.74916052243,13207.3861395645,2819.93298881817,723.754362840537,892.726746953948,381.162036955556,256.448018697287,199.386576427807,2076.14070167243
2003.12.1,1642.74916052243,13207.3861395645,2819.93298881817,723.754362840537,892.726746953948,381.162036955556,256.448018697287,199.386576427807,2076.14070167243
2004年1月,623.144769012696,13988.3640819392,1344.38619916463,804.032873428164,929.782447875746,445.680836982235,312.812021597346,151.303881321391,2836.81607297999
2004年2月,623.144769012696,13988.3640819392,1344.38619916463,804.032873428164,929.782447875746,445.680836982235,312.812021597346,151.303881321391,2836.81607297999
2004年3月,623.144769012696,13988.3640819392,1344.38619916463,804.032873428164,929.782447875746,445.680836982235,312.812021597346,151.303881321391,2836.81607297999
2004年4月,1007.02171443584,15846.4852431612,2348.0243674821,847.166986965278,1022.72625308751,444.986088990057,268.664091325998,148.971268201087,2674.45394463167
2004年5月,1007.02171443584,15846.4852431612,2348.0243674821,847.166986965278,1022.72625308751,444.986088990057,268.664091325998,148.971268201087,2674.45394463167
2004年6月,1007.02171443584,15846.4852431612,2348.0243674821,847.166986965278,1022.72625308751,444.986088990057,268.664091325998,148.971268201087,2674.45394463167
2004年7月,1499.87509644995,16892.5158461267,2603.53130362845,835.063440982171,920.096317179754,460.320169674559,278.699323668802,167.297615106423,2565.74573794798
2004年8月,1499.87509644995,16892.5158461267,2603.53130362845,835.063440982171,920.096317179754,460.320169674559,278.699323668802,167.297615106423,2565.74573794798
2004年9月,1499.87509644995,16892.5158461267,2603.53130362845,835.063440982171,920.096317179754,460.320169674559,278.699323668802,167.297615106423,2565.74573794798
2004年10月,1814.38030728541,18556.3982854583,3137.36988528902,886.401971595082,1133.79388506823,467.664648449013,310.046127170707,197.101162026005,2627.64179821285
2004年11月,1814.38030728541,18556.3982854583,3137.36988528902,886.401971595082,1133.79388506823,467.664648449013,310.046127170707,197.101162026005,2627.64179821285
2004年12月,1814.38030728541,18556.3982854583,3137.36988528902,886.401971595082,1133.79388506823,467.664648449013,310.046127170707,197.101162026005,2627.64179821285
2005年1月,722.87662689774,16977.1352964323,1474.10923356898,896.235506902856,1136.59604190444,504.548737735394,340.255647612681,156.502903373592,3365.89173532567
